j1,j2,j3,j4,j5,j6,x,y,z,ox,oy,oz,ow,manip
2.146660847001568229e+00,-3.268030941197966888e-01,2.179724846593542598e-01,5.935965183533161493e+00,-3.576044709598352078e+00,-4.498987010200199421e-01,-1.049322482084291241e+00,7.200384224017614132e-01,1.381587955583267524e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.268088241563643075e-02
2.146242314486171754e+00,-3.457054543054299822e-01,1.998396932939032200e-01,5.970627463489591946e+00,-3.577984461559814644e+00,-4.519752833645158119e-01,-1.049322482084291241e+00,7.200384224017614132e-01,1.406587955583267657e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.162950278941396638e-02
2.176273490380233877e+00,-2.506984460874293053e-01,2.990720392424661700e-01,5.756853516714417474e+00,-3.544415631190152904e+00,-4.753139553078854496e-01,-1.049322482084291241e+00,6.950384224017615020e-01,1.281587955583267657e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.634175953638286605e-02
2.176158874743800098e+00,-2.729094324394337190e-01,2.846875522636655997e-01,5.791952816475109955e+00,-3.545238926649898037e+00,-4.766713472031584575e-01,-1.049322482084291241e+00,6.950384224017615020e-01,1.306587955583267568e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.557323849600967917e-02
2.175999378216627811e+00,-2.940991548220310281e-01,2.687947279945348544e-01,5.827299209208841368e+00,-3.546299370653279492e+00,-4.782410111696260291e-01,-1.049322482084291241e+00,6.950384224017615020e-01,1.331587955583267480e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.471917812576064612e-02
2.175792556086421303e+00,-3.140462292666849065e-01,2.510057116815662681e-01,5.863060004924351531e+00,-3.547595423155822658e+00,-4.800209584502119764e-01,-1.049322482084291241e+00,6.950384224017615020e-01,1.356587955583267391e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.375869423327967349e-02
2.175536462266155713e+00,-3.330224720526987481e-01,2.319757646367450743e-01,5.898818371219143764e+00,-3.549139833098559738e+00,-4.820408855434680784e-01,-1.049322482084291241e+00,6.950384224017615020e-01,1.381587955583267524e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.272645046483968090e-02
2.175230296518912532e+00,-3.513140775664911342e-01,2.123799061048789738e-01,5.934155232711254335e+00,-3.550940690145690137e+00,-4.843276484403483684e-01,-1.049322482084291241e+00,6.950384224017615020e-01,1.406587955583267657e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.165887849217967127e-02
2.174874906711370848e+00,-3.691981470362222240e-01,1.928636202755292794e-01,5.968675946499941709e+00,-3.552999917847308176e+00,-4.869045764629708062e-01,-1.049322482084291241e+00,6.950384224017615020e-01,1.431587955583267568e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.059144877347554040e-02
2.204797694694212051e+00,-3.008497741841129614e-01,2.852036431181312337e-01,5.784251084576280455e+00,-3.520041009490456396e+00,-5.143398846626575649e-01,-1.049322482084291241e+00,6.700384224017614798e-01,1.331587955583267480e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.467035677586788801e-02
2.204682147290064176e+00,-3.200199364124167167e-01,2.655746076360713248e-01,5.820945146447079388e+00,-3.521198374721346447e+00,-5.162767710592890413e-01,-1.049322482084291241e+00,6.700384224017614798e-01,1.356587955583267391e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.367927165169433544e-02
2.204535088099750517e+00,-3.385044051994586245e-01,2.453355274737342717e-01,5.857221117589955561e+00,-3.522600572443182809e+00,-5.185251079859781731e-01,-1.049322482084291241e+00,6.700384224017614798e-01,1.381587955583267524e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.265130153194003737e-02
